LIFNR	MAT1	MAT2	MAT3	SP_KUNNR	MATNR
AMSANDS880197	912500.00	56804.00	999999.00	100230	56804
162920.00	709469.00	56650/01	7331056650.00	104254	56650/01
WMTD2C19350804	383081650.00	44223.00	4200044223.00	116485	44223/52
WMTD2C19350804	355519105.00	79292.00	3040079292.00	116485	79291/01
WMTD2C19350802	565137468.00	79262.00	3040079262.00	116485	79262/51
WMTD2C19350802	383081650.00	44223.00	4200044223.00	116485	44223/52
WMTD2C19350802	355519105.00	79292.00	3040079292.00	116485	79291/01
WMTD2C19350804	226900746.00	22180.00	3040022180.00	116485	22180/50
WMTD2C19350804	355519105.00	79292.00	3040079292.00	116485	79291/01
WMTD2C19350804	355519105.00	79292.00	3040079292.00	116485	79291/01
WMTD2C19350804	565137468.00	79262.00	3040079262.00	116485	79262/51
WMTD2C19350802	565137468.00	79262.00	3040079262.00	116485	79262/51
WMTD2C19350804	565137468.00	79262.00	3040079262.00	116485	79262/51
